130450514	Terratetto unifamiliare vicolo Bergamo 4, Centro, Murisengo Monferrato	29000	sale	Terratetto unifamiliare	160 m²	5+	Murisengo Monferrato	Vicolo Bergamo	Alessandria	0
124174697	Terratetto unifamiliare via Papa Giovanni XXIII, Salabue, Ponzano Monferrato	34000	sale	Terratetto unifamiliare	240 m²	5	Ponzano Monferrato	Via Papa Giovanni XXIII	Alessandria	0
126895849	Casale Strada Moretto Inferiore 1, Villadeati	350000	sale	Casale	320 m²	5+	Villadeati	Strada Moretto Inferiore	Alessandria	0
113668609	Terratetto plurifamiliare Strada Monferrato 25, Tuffo, Cocconato	115000	sale	Terratetto plurifamiliare	180 m²	5+	Cocconato	Strada Monferrato	Asti	0
118457819	Casale via Giotto 2, Ponzano Monferrato	250000	sale	Casale	350 m²	5+	Ponzano Monferrato	Via Giotto	Alessandria	0
124630127	Cascina Cascine Sabarona 4, Mombello Monferrato	98000	sale	Cascina	140 m²	5	Mombello Monferrato	Cascine Sabarona	Alessandria	0
125019815	Terratetto unifamiliare via Fresia 9, Odalengo Piccolo	185000	sale	Terratetto unifamiliare	390 m²	5+	Odalengo Piccolo	Via Fresia	Alessandria	0
130078146	Villa bifamiliare Strada Val Caramellini, Casalborgone	450000	sale	Villa bifamiliare	250 m²	5+	Casalborgone	Strada Val Caramellini	Torino	0
128692626	Bilocale via San Carlo 23, Casarello, Alfiano Natta	30000	sale	Bilocale	55 m²	2	Alfiano Natta	Via San Carlo	Alessandria	0
130761350	Terratetto unifamiliare via Conte Carlo Calvi 67, Centro, Montemagno	58000	sale	Terratetto unifamiliare	90 m²	3	Montemagno	Via Conte Carlo Calvi	Asti	0
123414701	Terratetto unifamiliare piazzale Stazione 7, Stazione, Moncalvo	38000	sale	Terratetto unifamiliare	130 m²	5	Moncalvo	Piazzale Stazione	Asti	0
128675334	Terratetto unifamiliare via Giuseppe Gavello 16, Centro, Moncalvo	69000	sale	Terratetto unifamiliare	250 m²	5+	Moncalvo	Via Giuseppe Gavello	Asti	0
118315761	Casale via Roma 1, Centro, Alfiano Natta	390000	sale	Casale	570 m²	5+	Alfiano Natta	Via Roma	Alessandria	0
123371833	Terratetto unifamiliare via Colombaro 8/A, Pozzengo, Mombello Monferrato	118000	sale	Terratetto unifamiliare	180 m²	5+	Mombello Monferrato	Via Colombaro	Alessandria	0
130694136	Terratetto unifamiliare via San Martino 11, Centro, Mombello Monferrato	58000	sale	Terratetto unifamiliare	150 m²	4	Mombello Monferrato	Via San Martino	Alessandria	0
123339599	Casale via della Parrocchia 5, Camino	98000	sale	Casale	600 m²	5+	Camino	Via della Parrocchia	Alessandria	0
106300755	Quadrilocale via Cissello 12, Centro, Moncalvo	78000	sale	Quadrilocale	115 m²	4	Moncalvo	Via Cissello	Asti	0
121486356	Terratetto unifamiliare via Roma 42, Castelletto Merli	25000	sale	Terratetto unifamiliare	100 m²	4	Castelletto Merli	Via Roma	Alessandria	0
119297117	Villa unifamiliare Località Valoppina 2, Frinco	95000	sale	Villa unifamiliare	140 m²	4	Frinco	Località Valoppina	Asti	0
130490030	Trilocale vicolo Legnano 84, Centro, Casale Monferrato	35000	sale	Trilocale	50 m²	3	Casale Monferrato	Vicolo Legnano	Alessandria	0
128465512	Terratetto unifamiliare via Asti 9, Centro, Calliano	230000	sale	Terratetto unifamiliare	150 m²	5+	Calliano	Via Asti	Asti	0
128867670	Quadrilocale piazza Giuseppe Romita 14, Centro, Moncalvo	63000	sale	Quadrilocale	110 m²	4	Moncalvo	Piazza Giuseppe Romita	Asti	0
129143566	Bilocale via Salvo D'Acquisto 27, Centro, Cocconato	28000	sale	Bilocale	70 m²	2	Cocconato	Via Salvo D'Acquisto	Asti	0
119552197	Casale Cascine Bosco 6, Mombello Monferrato	38000	sale	Casale	170 m²	5+	Mombello Monferrato	Cascine Bosco	Alessandria	0
122727568	Trilocale vicolo Legnano 84, Centro, Casale Monferrato	40000	sale	Trilocale	50 m²	3	Casale Monferrato	Vicolo Legnano	Alessandria	0
123848729	Villa bifamiliare via Guglielmo Marconi 12, Centro, Murisengo Monferrato	85000	sale	Villa bifamiliare	230 m²	5+	Murisengo Monferrato	Via Guglielmo Marconi	Alessandria	0
122982034	Cascina via 20 Settembre 13, Odalengo Grande	29000	sale	Cascina	160 m²	4	Odalengo Grande	Via 20 Settembre	Alessandria	0
129669102	Locale commerciale corso 25 Aprile 83, Centro, Moncalvo	150000	sale	Negozi - Locali commerciali	294 m²	4	Moncalvo	Corso 25 Aprile	Asti	0
129936448	Cascina via Montanaro 9, Villamiroglio	12500	sale	Cascina	100 m²	4	Villamiroglio	Via Montanaro	Alessandria	0
130720702	Terratetto unifamiliare via San Martino 11, Centro, Mombello Monferrato	28000	sale	Terratetto unifamiliare	140 m²	5+	Mombello Monferrato	Via San Martino	Alessandria	0
123347531	Appartamento via Goffredo Mameli, Centro, Casale Monferrato	200000	sale	Appartamento	300 m²	5+	Casale Monferrato	Via Goffredo Mameli	Alessandria	0
93412352	Terratetto plurifamiliare corso Giuseppe Garibaldi 61, Grana Monferrato	50000	sale	Terratetto plurifamiliare	360 m²	5+	Grana Monferrato	Corso Giuseppe Garibaldi	Asti	0
124449149	Casale via Torino 38, Guazzolo, Castelletto Merli	450000	sale	Casale	788 m²		Castelletto Merli	Via Torino	Alessandria	0
115026203	Rustico frazione Bertola 6, Cerrina Monferrato	80000	sale	Rustico	120 m²	2	Cerrina Monferrato	Frazione Bertola	Alessandria	0
120101806	Palazzo - Edificio corso Umberto I 25, Centro, Alfiano Natta	168000	sale	Palazzo - Edificio	510 m²	5+	Alfiano Natta	Corso Umberto I	Alessandria	0
130148708	Villa unifamiliare Sp457, Strada Casale Asti, Cereseto	98000	sale	Villa unifamiliare	260 m²	5+	Cereseto	SP457	Alessandria	0
125865141	Terratetto plurifamiliare via 20 Settembre 18, Centro, Moncalvo	85000	sale	Terratetto plurifamiliare	380 m²	5+	Moncalvo	Via 20 Settembre	Asti	0
127560098	Terratetto plurifamiliare via Pietro Badoglio 9, Centro, Grazzano Badoglio	165000	sale	Terratetto plurifamiliare	320 m²	5+	Grazzano Badoglio	Via Pietro Badoglio	Asti	0
125837667	Villa bifamiliare Case Dei Rei, Villamiroglio	230000	sale	Villa bifamiliare	250 m²	5+	Villamiroglio	Case Dei Rei	Alessandria	0
129655252	Quadrilocale via Conciliazione 3, Centro, Moncalvo	70000	sale	Quadrilocale	160 m²	4	Moncalvo	Via Conciliazione	Asti	0
129269106	Bilocale via Salvo D'Acquisto 27, Centro, Cocconato	14000	sale	Bilocale	70 m²	2	Cocconato	Via Salvo D'Acquisto	Asti	0
129854532	Attività commerciale via Pozzo 14, Pozzo, Odalengo Grande	78000	sale	Negozi - Locali commerciali	200 m²	1	Odalengo Grande	Via Pozzo	Alessandria	0
78159744	Casa colonica Borgata Verdina Alta, Robella	250000	sale	Casa colonica	700 m²	5+	Robella	Borgata Verdina Alta	Asti	0
88018939	Casale Strada Cocconito, Cocconato	280000	sale	Casale	1000 m²		Cocconato	Strada Cocconito	Asti	0
131509212	Terreno agricolo Sp16, Odalengo Piccolo	35000	sale	Terreno agricolo	42000 m²		Odalengo Piccolo	SP16	Alessandria	0
118237409	Terratetto unifamiliare via Cissello 25, Centro, Moncalvo	98000	sale	Terratetto unifamiliare	215 m²	5+	Moncalvo	Via Cissello	Asti	0
128673966	Terratetto unifamiliare via Roma 7, Cuccaro Monferrato, Lu e Cuccaro Monferrato	58000	sale	Terratetto unifamiliare	160 m²	4	Lu e Cuccaro Monferrato	Via Roma	Alessandria	0
112732335	Cascina via Case Sparse, Alfiano Natta	300000	sale	Cascina	300 m²	5+	Alfiano Natta	Via Case Sparse	Alessandria	0
117740251	Terratetto unifamiliare via Roma 30, Castelletto Merli	38000	sale	Terratetto unifamiliare	325 m²	5+	Castelletto Merli	Via Roma	Alessandria	0
121418494	Villa unifamiliare via Romagnoli 62, Vallegioliti, Villamiroglio	98000	sale	Villa unifamiliare	200 m²	5	Villamiroglio	Via Romagnoli	Alessandria	0
81931254	Terratetto plurifamiliare via Roma 21, Centro, Villadeati	58000	sale	Terratetto plurifamiliare	286 m²	5+	Villadeati	Via Roma	Alessandria	0
90339175	Terratetto plurifamiliare via Roma 55, Centro, Serralunga di Crea	89000	sale	Terratetto plurifamiliare	700 m²	5+	Serralunga di Crea	Via Roma	Alessandria	0
119615629	Palazzo - Edificio via Gaminella, Cerrina Monferrato	150000	sale	Palazzo - Edificio	1509 m²	5	Cerrina Monferrato	Via Gaminella	Alessandria	0
88057459	Casale via 4 Novembre 23, Centro, Murisengo Monferrato	115000	sale	Casale	500 m²	5+	Murisengo Monferrato	Via 4 Novembre	Alessandria	0
27771145	Terratetto plurifamiliare 300 m², ottimo stato, Centro, Murisengo Monferrato	250000	sale	Terratetto plurifamiliare	300 m²	5+	Murisengo Monferrato	Via Umberto I	Alessandria	0
118029741	Terratetto unifamiliare via Carlo Lachello 11, Centro, Villadeati	250000	sale	Terratetto unifamiliare	100 m²	3	Villadeati	Via Carlo Lachello	Alessandria	0
106624861	Appartamento via Gian Giacomo Francia 12, Cella Monte	65000	sale	Appartamento	104 m²		Cella Monte	Via Gian Giacomo Francia	Alessandria	0
118172325	Bilocale corso 25 Aprile 93, Centro, Moncalvo	35000	sale	Bilocale	60 m²	2	Moncalvo	Corso 25 Aprile	Asti	0
123335623	Terreno agricolo via della Fornace, Brusasco	15000	sale	Terreno agricolo	11552 m²		Brusasco	Via della Fornace	Torino	0
126750265	Attività commerciale via Umberto I 24, Centro, Murisengo Monferrato	70000	sale	Negozi - Locali commerciali	90 m²	2	Murisengo Monferrato	Via Umberto I	Alessandria	0
