130853462	Villa unifamiliare Strada Menaccia 24, Mandrogne, Alessandria	219000	sale	Villa unifamiliare	200 m²	5+	Alessandria	Strada Menaccia 24	Alessandria	0
130305808	Trilocale via Commerciale 3/26, Galimberti, Alessandria	160000	sale	Trilocale	124 m²	3	Alessandria	Via Commerciale 3/26	Alessandria	0
127238727	Quadrilocale via Trotti 77, Piazza della Libertà, Alessandria	180000	sale	Quadrilocale	140 m²	4	Alessandria	Via Trotti 77	Alessandria	0
126411761	Trilocale via Alessandro Volta 4, Cristo, Alessandria	69000	sale	Trilocale	90 m²	3	Alessandria	Via Alessandro Volta 4	Alessandria	0
131993674	Bilocale via Vincenzo Bellini 2, Orti, Alessandria	65000	sale	Bilocale	70 m²	2	Alessandria	Via Vincenzo Bellini 2	Alessandria	0
121663096	Terratetto unifamiliare via Ramella, San Giuliano, Alessandria	75000	sale	Terratetto unifamiliare	150 m²	2	Alessandria	Via Ramella, San Giuliano	Alessandria	0
128673038	Bilocale via Alessandro Tonso, Europa, Alessandria	58000	sale	Bilocale	65 m²	2	Alessandria	Via Alessandro Tonso	Alessandria	0
131629290	Villa a schiera Strada Cerca 152, Valle San Bartolomeo, Alessandria	129000	sale	Villa a schiera	113 m²	3	Alessandria	Strada Cerca 152	Alessandria	0
124224001	Bilocale via Alessandro Tonso 80, Europa, Alessandria	49000	sale	Bilocale	75 m²	2	Alessandria	Via Alessandro Tonso 80	Alessandria	0
130106332	Bilocale via Ernesto Pistoia 17, Borgo Rovereto - Piscina, Alessandria	56000	sale	Bilocale	80 m²	2	Alessandria	Via Ernesto Pistoia 17	Alessandria	0
117846373	Terratetto unifamiliare via Roma, Casal Cermelli	73000	sale	Terratetto unifamiliare	85 m²	3	Casal Cermelli	Via Roma	Alessandria	0
123271967	Terratetto unifamiliare Strada Acqui, Cabanette, Alessandria	185000	sale	Terratetto unifamiliare	184 m²	4	Alessandria	Strada Acqui	Alessandria	0
132116518	Quadrilocale corso IV Novembre 3, Pista, Alessandria	75000	sale	Quadrilocale	120 m²	4	Alessandria	Corso IV Novembre 3	Alessandria	0
125341711	Trilocale Borgo Città Nuova 70, Pista, Alessandria	160000	sale	Trilocale	90 m²	3	Alessandria	Borgo Città Nuova 70	Alessandria	0
127235749	Quadrilocale via Pontida 56, Piazza della Libertà, Alessandria	139000	sale	Quadrilocale	170 m²	4	Alessandria	Via Pontida 56	Alessandria	0
122909194	Trilocale via Guglielmo Oberdan, Piazza Genova, Alessandria	75000	sale	Trilocale	100 m²	3	Alessandria	Via Guglielmo Oberdan	Alessandria	0
128083172	Trilocale via Giovanni Plana 105, Ospedale, Alessandria	65000	sale	Trilocale	85 m²	3	Alessandria	Via Giovanni Plana 105	Alessandria	0
124497051	Terratetto unifamiliare via Varza 5, Valle San Bartolomeo, Alessandria	125000	sale	Terratetto unifamiliare	230 m²	5+	Alessandria	Via Varza 5	Alessandria	0
122729540	Villa unifamiliare via Camillo Giacchero 8/B, Cascinagrossa, Alessandria	450000	sale	Villa unifamiliare	222 m²	5	Alessandria	Via Camillo Giacchero 8/B	Alessandria	0
122730666	Trilocale via Palestro 30, Borgo Rovereto - Piscina, Alessandria	59000	sale	Trilocale	80 m²	3	Alessandria	Via Palestro 30	Alessandria	0
127735240	Quadrilocale via Cairoli 1, Piazza Genova, Alessandria	125000	sale	Quadrilocale	108 m²	4	Alessandria	Via Cairoli 1	Alessandria	0
128089292	Bilocale via Faà di Bruno Emilio 56, Piazza della Libertà, Alessandria	199000	sale	Bilocale	70 m²	2	Alessandria	Via Faà di Bruno Emilio 56	Alessandria	0
127424775	Trilocale via Alessandro Tonso 5, Europa, Alessandria	169000	sale	Trilocale	100 m²	3	Alessandria	Via Alessandro Tonso 5	Alessandria	0
128089296	Trilocale via Giuseppe Antonio Chenna 36, Piazza della Libertà, Alessandria	169000	sale	Trilocale	135 m²	3	Alessandria	Via Giuseppe Antonio Chenna 36	Alessandria	0
123305085	Trilocale via Giovanni Testone 16, Europa, Alessandria	65000	sale	Trilocale	80 m²	3	Alessandria	Via Giovanni Testone 16	Alessandria	0
127363813	Appartamento Borgo Città Nuova 20, Pista, Alessandria	395000	sale	Appartamento	145 m²	5	Alessandria	Borgo Città Nuova 20	Alessandria	0
128039190	Palazzo - Edificio viale Milite Ignoto, Orti, Alessandria	189000	sale	Palazzo - Edificio	250 m²	5+	Alessandria	Viale Milite Ignoto	Alessandria	0
123492919	Trilocale via Firenze 4, Pista, Alessandria	80000	sale	Trilocale	80 m²	3	Alessandria	Via Firenze 4	Alessandria	0
124387271	Terratetto unifamiliare via Leone Tolstoi 9, Cristo, Alessandria	399000	sale	Terratetto unifamiliare	280 m²	5+	Alessandria	Via Leone Tolstoi 9	Alessandria	0
127880234	Quadrilocale via Piacenza, San Giuliano 12/a, Alessandria	100000	sale	Quadrilocale	100 m²	4	Alessandria	Via Piacenza, San Giuliano 12/a	Alessandria	0
123319411	Locale commerciale via Galileo Galilei 75, Pista, Alessandria	35000	sale	Negozi - Locali commerciali	50 m²	2	Alessandria	Via Galileo Galilei	Alessandria	0
129392400	Bilocale via San Pio V 23, Ospedale, Alessandria	45000	sale	Bilocale	45 m²	2	Alessandria	Via San Pio V 23	Alessandria	0
113747451	Appartamento da ristrutturare, piano terra, Pista, Alessandria	60000	sale	Appartamento	100 m²	5	Alessandria	Via Napoli	Alessandria	0
131993436	Garage - Box piazza Nicola Basile 10, Galimberti, Alessandria	47000	sale	Garage - Box	327 m²		Alessandria	Piazza Nicola Basile 10	Alessandria	0
131248102	Terratetto unifamiliare via Falamera 40, Valle San Bartolomeo, Alessandria	159000	sale	Terratetto unifamiliare	190 m²	4	Alessandria	Via Falamera 40	Alessandria	0
132058480	Bilocale via Fabio Filzi 3, Pista, Alessandria	45000	sale	Bilocale	70 m²	2	Alessandria	Via Fabio Filzi 3	Alessandria	0
